mask_client_identifier,amount1,amount2,rec_date,SMS_text
Cgg5oYSu2KxJPSRbC7Kuog==,530,0,1/4/2024,"dear ykovd, ###9041 is debited by npr 530.00 on 04/01/2024, remarks: mb/98662XXXXX/boalnp av bal: 183.84. support center:#phone_num"
bV6oDJgaWQU15xITCpVMhA==,0,50000,1/21/2024,"dear sghwz, npr 50,000.00 has been deposited in your a/c 057###11 on 21/01/2024 13:00:26. rmk: pcbl5-10924006"
ZXzx9IEGggpnQYgSO8orBw==,0,0,2/16/2024,"stay updated about revised minimum balances url a/c 043#01 debited by 6000 on 2024-02-16 13:59:23.0,ft from sapnil katuw."
cLveLm0YB1mEOxp3FRXMrQ==,20,0,2/16/2024,xyzcode ac 0###15194361 debited by npr 20.00 on 16/02/2024 for fund trf to f1 soft internationa-nt prepaid topup/fun mob/xyzcodemob01
znpkqDjEwydqeqZHKYDzyw==,0,3000,2/16/2024,"dear hbtdq,npr 3,000.00 credited in your a/c ###0011 on 16/02/2024 remarks: rachana gy available bal: 112391.81. update kyc url"
BvMLEj0fCrXkYz1ZmDl/dg==,25000,0,2/16/2024,"dear ugtmj, a/c 001###0005 withdrawn by npr 25,000.00 on 16/02/2024 12:33:29. rmk: 98580XXXXX av bal:23187.06"
BvMLEj0fCrXkYz1ZmDl/dg==,23000,0,2/16/2024,"dear pfgww, a/c 001###0005 withdrawn by npr 23,000.00 on 16/02/2024 12:34:32. rmk: 98580XXXXX av bal:187.06"
bwPItYt7s6lGPLaxPIsp/g==,50000,0,2/16/2024,"your a/c ###001 has been debited by npr 50,000.00 on 16/02/2024 12:45.remarks: home chq. a0018629277 rajan. xyzFinancialinstitution coming soon."
BvMLEj0fCrXkYz1ZmDl/dg==,8510,0,2/13/2024,"dear gdmfj, a/c 001###0005 withdrawn by npr 8,510.00 on 13/02/2024 09:31:38. rmk: xyzcode;020 av bal:48187.06"
bf13/3Fb92NQN3Pejei9Eg==,0,0,2/13/2024,"stay updated about revised minimum balances url a/c 099#01 credited by 8000 on 2024-02-13 13:15:24.0,xyzcode:ibft:342457543:3."
cLveLm0YB1mEOxp3FRXMrQ==,40,0,2/13/2024,xyzcode ac 0###15194361 debited by npr 40.00 on 13/02/2024 for fund trf to f1 soft internationa-nt prepaid topup
BFEFbO8xBHBM4WpjrGMLiw==,21000,0,1/24/2024,"your a/c ##01 has been deposited by npr 21,000.00 on 24/01/24 12:57rmk: 167359760 shahid         . av.bal.86021.97.enjoy fd upto 9.00%"
CaRMs797vWJe9l0zQInIKg==,65000,0,1/24/2024,"dear nsoyh, your 0###001 credited by npr 65,000.00 on 24/01/2024 13:55:02,rmk:xyzcode xyzcode-25694900:xyzcode."
znpkqDjEwydqeqZHKYDzyw==,0,3510,1/24/2024,"dear dzvxg,npr 3,510.00 debited from your a/c ###0011 on 24/01/2024 remarks: aashna pud available bal: 46682.4. update kyc url"
ZZSwbnodFM9T0v/59+pLyQ==,1000,0,1/24/2024,"xyzcode ac ###500833360 debited by npr 1,000.00 on 24/01/2024 for cash withdrawl  @ 'xyzcode007030n damak amda"
CaRMs797vWJe9l0zQInIKg==,67010,0,1/24/2024,"dear lcccr, your 0###001 debited by npr 67,010.00 on 24/01/2024 14:33:28,rmk:97031XXXXX mob,liladhar."
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/24/2024,"a/c 043#01 debited by 8000 on 2024-01-24 17:34:03.0,ft from sapnil katuw."
grEQACGtnSIBFvM7m9Tn1w==,35000,0,1/24/2024,"a/c 0###800001 debited by npr 35,000.00 on 24/01/2024 14:57:00,ranjit pras."
Cgg5oYSu2KxJPSRbC7Kuog==,1010,0,1/24/2024,"dear fmodp, ###9041 is debited by npr 1,010.00 on 24/01/2024, remarks: mb/98662XXXXX/boalnp av bal: 8494.26. support center:#phone_num"
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/24/2024,"a/c 043#01 debited by 1000 on 2024-01-24 18:07:35.0,25723084,birgunj,qr ."
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/11/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 043#01 debited by 3500 on 2024-01-11 15:21:37.0,24615618,birgunj,qr ."
Cgg5oYSu2KxJPSRbC7Kuog==,1000,0,1/11/2024,"dear gresx, ###9041 is debited by npr 1,000.00 on 11/01/2024, remarks: mb/98662XXXXX/xyzFinancialinstitution, av bal: 1144.24. support center:#phone_num"
BvMLEj0fCrXkYz1ZmDl/dg==,4050,0,1/11/2024,"dear witqp, a/c 001###0005 withdrawn by npr 4,050.00 on 11/01/2024 13:57:30. rmk: 203609150,98 av bal:24871.06"
cqqIeeNpQ+tNeONXEmVj8g==,365,0,1/11/2024,"received rs.365 from 98673XXXXX for rrn 203511851, dabai. download: url  watch: url"
bf13/3Fb92NQN3Pejei9Eg==,0,0,1/11/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 099#01 credited by 3350 on 2024-01-11 19:20:22.0,xyzcode:ibft:318394085:2."
BvMLEj0fCrXkYz1ZmDl/dg==,5000,0,1/11/2024,"dear tokxc, a/c 001###0005 withdrawn by npr 5,000.00 on 11/01/2024 13:09:04. rmk: self  av bal:28921.06"
CjUlY+MarJKGnNXpAulc8w==,0,4100,1/11/2024,"dear ckfai,npr 4,100.00 debited from your a/c ###0017 on 11/01/2024 remarks: ss,stylish available bal: 31085.36. update kyc url"
BvMLEj0fCrXkYz1ZmDl/dg==,20000,0,1/11/2024,"dear fbrum, a/c 001###0005 withdrawn by npr 20,000.00 on 11/01/2024 14:13:25. rmk: mobile payme av bal:4871.06"
ZXzx9IEGggpnQYgSO8orBw==,29646.66,0,1/11/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 0###100001 credited by npr 29,646.66 on 11/01/2024 16:42:19,salary pous."
cLveLm0YB1mEOxp3FRXMrQ==,2500,0,1/2/2024,"xyzcode ac 0###15194361 debited by npr 2,500.00 on 02/01/2024 for fund trf to xyzFinancialinstitution ltd (esew-98157XXXXX,36905"
cLveLm0YB1mEOxp3FRXMrQ==,1610,0,1/2/2024,"xyzcode ac 0###15194361 debited by npr 1,610.00 on 02/01/2024 for fund trf to a/c payable ibft (in-fon pay,xyzcode"
cqqIeeNpQ+tNeONXEmVj8g==,950,0,1/2/2024,"received rs.950 from 98044XXXXX for rrn 199620042, ganesh. download: url  watch: url"
bf13/3Fb92NQN3Pejei9Eg==,0,0,1/2/2024,emi amount npr 29918.17 is due on 2024-01-12. we request you to pay on time to avoid penalty charges.
bzzFF6EQHy9VDlbl0Erh/g==,0,2010,2/28/2024,"dear qopcb, npr 2,010.00 has been withdrawn from your a/c 108###11 on 28/02/2024 08:44:03. rmk: 34412165,fonepay"
bzzFF6EQHy9VDlbl0Erh/g==,0,5000,2/28/2024,"dear uomwc, npr 5,000.00 has been deposited in your a/c 108###11 on 28/02/2024 08:31:15. rmk: nepal-xp-3699850"
c3UcwMxbpoEoLFwni5UZ8A==,0,100,2/28/2024,"dear myxop,npr 100.00 credited in your a/c ###0010 on 28/02/2024 remarks: law:170912 available bal: 3803.61. update kyc url"
bzzFF6EQHy9VDlbl0Erh/g==,0,2000,2/28/2024,"dear blash, npr 2,000.00 has been withdrawn from your a/c 108###11 on 28/02/2024 09:03:53. rmk: cmpay,34414071"
cLveLm0YB1mEOxp3FRXMrQ==,7000,0,2/28/2024,"xyzcode ac 0###15194361 credited by npr 7,000.00 on 28/02/2024 for asmita thapa/asmita thapa"
c3UcwMxbpoEoLFwni5UZ8A==,0,180,2/28/2024,"dear viqvd,npr 180.00 debited from your a/c ###0010 on 28/02/2024 remarks: rhhr,sunri available bal: 3729.61. update kyc url"
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/16/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 043#01 debited by 3468 on 2024-01-16 07:21:24.0,24986192,worldlink_c."
ZZSwbnodFM9T0v/59+pLyQ==,3000,0,2/6/2024,"dear diege, your ##phone_num has been debited by npr 3,000.00 on 06/02/24. remarks:atm/birtamode branch"
ZZSwbnodFM9T0v/59+pLyQ==,1000,0,2/6/2024,"dear jmolq, your ##phone_num has been debited by npr 1,000.00 on 06/02/24. remarks:atm/birtamode branch"
CjUlY+MarJKGnNXpAulc8w==,0,10000,2/6/2024,"dear dluoh,npr 10,000.00 debited from your a/c ###0017 on 06/02/2024 remarks: cwd atm @  available bal: 27495.4. update kyc url"
bf13/3Fb92NQN3Pejei9Eg==,0,0,2/6/2024,"a/c 099#01 credited by 25000 on 2024-02-06 10:16:12.0,xyzcode:ibft:336698426:2."
znpkqDjEwydqeqZHKYDzyw==,0,4908,2/14/2024,"dear kzwfd,npr 4,908.00 credited in your a/c ###0011 on 14/02/2024 remarks: nepal-xp-3 available bal: 116891.81. update kyc url"
cLveLm0YB1mEOxp3FRXMrQ==,1000,0,2/14/2024,"xyzcode ac 0###15194361 credited by npr 1,000.00 on 14/02/2024 for fund trf frm padma kumari th-r"
cLveLm0YB1mEOxp3FRXMrQ==,700,0,2/14/2024,"xyzcode ac 0###15194361 debited by npr 700.00 on 14/02/2024 for fund trf to a/c payable ibft (in-219350115,mobile/fun mob/xyzcodemob01/fun mob/43644XXXXX"
Cgg5oYSu2KxJPSRbC7Kuog==,500,0,2/14/2024,"dear fizun, ###9041 is credited by npr 500.00 on 14/02/2024, remarks: mb/xyzFinancialinstitution/wd:17079245 av bal: 505.46. support center:#phone_num"
cLveLm0YB1mEOxp3FRXMrQ==,700,0,2/14/2024,"xyzcode ac 0###15194361 debited by npr 700.00 on 14/02/2024 for fund trf to a/c payable ibft (in-219350115,mobile/fun mob/xyzcodemob01"
c3UcwMxbpoEoLFwni5UZ8A==,0,490,1/3/2024,"dear wjxif,npr 490.00 debited from your a/c ###0010 on 03/01/2024 remarks: xyzFinancialinstitution,2737 available bal: 0.46. update kyc url"
CE1g0h7I0lmvI2xN0CrTuw==,0,0,1/3/2024,please collect policy book of no ul192687 from agency office and deliver to the policy owner.kindly send us policy receipt.metlife.
CE1g0h7I0lmvI2xN0CrTuw==,0,0,1/3/2024,please collect policy book of no n9249370 from agency office and deliver to the policy owner.kindly send us policy receipt.metlife.
CE1g0h7I0lmvI2xN0CrTuw==,0,0,1/3/2024,please collect policy book of no nf30866 from agency office and deliver to the policy owner.kindly send us policy receipt.metlife.
bV6oDJgaWQU15xITCpVMhA==,0,46500,1/3/2024,"dear xvftg, npr 46,500.00 has been deposited in your a/c 057###11 on 03/01/2024 09:15:26. rmk: snmxp-30970695"
bV6oDJgaWQU15xITCpVMhA==,0,1400,1/3/2024,"dear bjesc, npr 1,400.00 has been deposited in your a/c 057###11 on 03/01/2024 09:16:14. rmk: nicxp-99364726"
znpkqDjEwydqeqZHKYDzyw==,0,4883.86,1/18/2024,"dear jbbts,npr 4,883.86 debited from your a/c ###0011 on 18/01/2024 remarks: sales;sale available bal: 51862.4. update kyc url"
znpkqDjEwydqeqZHKYDzyw==,0,430,1/18/2024,"dear pcsjb,npr 430.00 credited in your a/c ###0011 on 18/01/2024 remarks: sonika adh available bal: 52292.4. update kyc url"
zTDzlt5GHGWFKBrvwKQDSA==,1800,0,1/18/2024,"dear njsun, ###9011 is debited by npr 1,800.00 on 18/01/2024, remarks: mb/98434XXXXX/xyzFinancialinstitution, av bal: 72524.79. support center:#phone_num"
zTDzlt5GHGWFKBrvwKQDSA==,1800,0,1/18/2024,"dear llcge, ###9011 is credited by npr 1,800.00 on 18/01/2024, remarks: mb/xyzFinancialinstitution/nabil-xp-45 av bal: 74324.79. support center:#phone_num"
CjUlY+MarJKGnNXpAulc8w==,0,1600,1/18/2024,"dear dsemu,npr 1,600.00 debited from your a/c ###0017 on 18/01/2024 remarks: xyzFinancialinstitution,2825 available bal: 9986.4. update kyc url"
zTDzlt5GHGWFKBrvwKQDSA==,1200,0,1/18/2024,"dear ezlbu, ###9011 is debited by npr 1,200.00 on 18/01/2024, remarks: mb/98434XXXXX/ft to  av bal: 73124.79. support center:#phone_num"
CE1g0h7I0lmvI2xN0CrTuw==,0,0,1/17/2024,"dear zyqyj, safian, happy birthday to you! we wish you a healthy and happy year ahead. metlife"
zTDzlt5GHGWFKBrvwKQDSA==,5010,0,1/17/2024,"dear aoetm, ###9011 is debited by npr 5,010.00 on 17/01/2024, remarks: mb/98434XXXXX/lxblnp av bal: 74324.79. support center:#phone_num"
c3UcwMxbpoEoLFwni5UZ8A==,0,100,1/17/2024,"dear evnzd,npr 100.00 credited in your a/c ###0010 on 17/01/2024 remarks: law:170549 available bal: 109.61. update kyc url"
CjUlY+MarJKGnNXpAulc8w==,0,10000,1/17/2024,"dear oamtc,npr 10,000.00 credited in your a/c ###0017 on 17/01/2024 remarks: xyzcodekaxp available bal: 21586.4. update kyc url"
CjUlY+MarJKGnNXpAulc8w==,0,20010,1/17/2024,"dear nwfxk,npr 20,010.00 debited from your a/c ###0017 on 17/01/2024 remarks: ss,ibft ss available bal: 11586.4. update kyc url"
bV6oDJgaWQU15xITCpVMhA==,0,2500,1/17/2024,"dear raipz, npr 2,500.00 has been deposited in your a/c 057###11 on 17/01/2024 17:06:54. rmk: wd:1705490######:xyzcode"
CjUlY+MarJKGnNXpAulc8w==,644.91,0,1/17/2024,"dear hwcyp, your #98202001 has been credited by npr 644.91 on 17/01/24. remarks:ips -nmbcl-chhimek div-20-cbbl10%cashdivfy2079.080"
bf13/3Fb92NQN3Pejei9Eg==,0,0,2/25/2024,"apply for kumari sabal yojana url a/c 099#01 credited by 9000 on 2024-02-25 14:58:35.0,xyzcode:ibft:352027392:3."
c3UcwMxbpoEoLFwni5UZ8A==,0,150,2/25/2024,"dear idpjv,npr 150.00 credited in your a/c ###0010 on 25/02/2024 remarks: law:170885 available bal: 3459.61. update kyc url"
ZZSwbnodFM9T0v/59+pLyQ==,1000,0,2/25/2024,"xyzcode ac ###500833360 debited by npr 1,000.00 on 25/02/2024 for cash withdrawl  @ 'xyzcode007030n damak amda/cash withdrawl atm at xyzcode00703"
bf13/3Fb92NQN3Pejei9Eg==,0,0,2/25/2024,"apply for kumari sabal yojana url a/c 099#01 debited by 2000 on 2024-02-25 15:28:38.0,xyzFinancialinstitution,28440667,98638."
bV6oDJgaWQU15xITCpVMhA==,0,3010,2/25/2024,"dear pklxj, npr 3,010.00 has been withdrawn from your a/c 057###11 on 25/02/2024 11:27:41. rmk: 34090930,fonepay"
cqqIeeNpQ+tNeONXEmVj8g==,15,0,1/8/2024,"received rs.15 from 98215XXXXX for rrn 202271389, 123. download: url  watch: url"
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/8/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 043#01 debited by 1000 on 2024-01-08 13:02:08.0,24332681,birgunj,qr ."
cqqIeeNpQ+tNeONXEmVj8g==,530,0,1/8/2024,"received rs.530 from 98164XXXXX for rrn 202240525, bill. download: url  watch: url"
bzzFF6EQHy9VDlbl0Erh/g==,0,9000,2/18/2024,"dear opduc, npr 9,000.00 has been withdrawn from your a/c 108###11 on 18/02/2024 10:01:44. rmk: cwd atm @ xyzcode illam atm"
bV6oDJgaWQU15xITCpVMhA==,0,10000,2/18/2024,"dear vnliw, npr 10,000.00 has been deposited in your a/c 057###11 on 18/02/2024 21:07:15. rmk: xyzcodexp-41752158"
bzzFF6EQHy9VDlbl0Erh/g==,0,9000,2/18/2024,"dear pmuev, npr 9,000.00 has been deposited in your a/c 108###11 on 18/02/2024 09:48:37. rmk: 98159XXXXX,bsjs"
grEQACGtnSIBFvM7m9Tn1w==,0,0,2/26/2024,"apply for kumari sabal yojana url a/c 013#01 credited by 5500 on 2024-02-26 19:03:35.0,xyzcode:ibft:353162332:3."
BFEFbO8xBHBM4WpjrGMLiw==,0,0,2/26/2024,rights issue alert!!!
zTDzlt5GHGWFKBrvwKQDSA==,50000,0,2/26/2024,"dear hloin, ###9011 is credited by npr 50,000.00 on 26/02/2024, remarks: deposited by smriti  av bal: 138618.72. support center:#phone_num"
cLveLm0YB1mEOxp3FRXMrQ==,20,0,2/26/2024,xyzcode ac 0###15194361 debited by npr 20.00 on 26/02/2024 for fund trf to f1 soft internationa-nt prepaid topup/fun mob/xyzcodemob01
bV6oDJgaWQU15xITCpVMhA==,0,3500,2/26/2024,"dear ogles, npr 3,500.00 has been withdrawn from your a/c 057###11 on 26/02/2024 11:21:55. rmk: xyzFinancialinstitution,34204838"
c3UcwMxbpoEoLFwni5UZ8A==,0,20000,1/9/2024,"dear uikze,npr 20,000.00 credited in your a/c ###0010 on 09/01/2024 remarks: cash  dep  available bal: 20000.46. update kyc url"
c3UcwMxbpoEoLFwni5UZ8A==,0,23000,1/9/2024,"dear tlzwj,npr 23,000.00 debited from your a/c ###0010 on 09/01/2024 remarks: xyzFinancialinstitution,2771 available bal: 0.46. update kyc url"
bwPItYt7s6lGPLaxPIsp/g==,0,15000,1/9/2024,"dear dvkmd,npr 15,000.00 debited from your a/c ###0014 on 09/01/2024 remarks: pmt dhani  available bal: 86306.31. update kyc url"
Cgg5oYSu2KxJPSRbC7Kuog==,3465,0,2/15/2024,"dear pyhgo, ###9041 is credited by npr 3,465.00 on 15/02/2024, remarks: mb/xyzcode/ibft:344 av bal: 3970.46. support center:#phone_num"
